title,"mitre_string",id,description,source
"Executables Or Script Creation In Suspicious Path",T1036,"a7e3f0f0-ae42-11eb-b245-acde48001122","This analytic will identify suspicious executable or scripts (known file
  extensions) in list of suspicious file path in Windows. This technique is used by
  adversaries to evade detection. The suspicious file path are known paths used in
  the wild and are not common to have executable or scripts.
","detections\endpoint\executables_or_script_creation_in_suspicious_path.yml"
"Execute Javascript With Jscript COM CLSID","T1059|T1059.005","dc64d064-d346-11eb-8588-acde48001122","This analytic will identify suspicious process of cscript.exe where it
  tries to execute javascript using jscript.encode CLSID (COM OBJ). This technique
  was seen in ransomware (reddot ransomware) where it execute javascript with this
  com object with combination of amsi disabling technique.
","detections\endpoint\execute_javascript_with_jscript_com_clsid.yml"
"Execution of File with Multiple Extensions","T1036|T1036.003","b06a555e-dce0-417d-a2eb-28a5d8d66ef7","This search looks for processes launched from files that have double
  extensions in the file name. This is typically done to obscure the ""real"" file extension
  and make it appear as though the file being accessed is a data file, as opposed
  to executable content.
","detections\endpoint\execution_of_file_with_multiple_extensions.yml"
"Fsutil Zeroing File",T1070,"4e5e024e-fabb-11eb-8b8f-acde48001122","This search is to detect a suspicious fsutil process to zeroing a target
  file. This technique was seen in lockbit ransomware where it tries to zero out its
  malware path as part of its defense evasion after encrypting the compromised host.
","detections\endpoint\fsutil_zeroing_file.yml"
"GetAdComputer with PowerShell",T1018,"c5a31f80-5888-4d81-9f78-1cc65026316e","This analytic looks for the execution of `powershell.exe` with command-line
  arguments utilized to discover remote systems. The `Get-AdComputer' commandlet returns
  a list of all domain computers. Red Teams and adversaries alike may use this commandlet
  to identify remote systems for situational awareness and Active Directory Discovery.
","detections\endpoint\getadcomputer_with_powershell.yml"
"GetAdComputer with PowerShell Script Block",T1018,"a9a1da02-8e27-4bf7-a348-f4389c9da487","The following analytic utilizes PowerShell Script Block Logging (EventCode=4104)
  to identify the execution of the `Get-AdGroup` commandlet. The `Get-AdGroup` commandlet
  is used to return a list of all domain computers. Red Teams and adversaries may
  leverage this commandlet to enumerate domain computers for situational awareness
  and Active Directory Discovery.
","detections\endpoint\getadcomputer_with_powershell_script_block.yml"
"GetDomainComputer with PowerShell",T1018,"ed550c19-712e-43f6-bd19-6f58f61b3a5e","This analytic looks for the execution of `powershell.exe` with command-line
  arguments utilized to discover remote systems. `Get-DomainComputer` is part of PowerView,
  a PowerShell tool used to perform enumeration on Windows domains. Red Teams and
  adversaries alike may leverage PowerView to enumerate domain groups for situational
  awareness and Active Directory Discovery.
","detections\endpoint\getdomaincomputer_with_powershell.yml"
"GetDomainComputer with PowerShell Script Block",T1018,"f64da023-b988-4775-8d57-38e512beb56e","The following analytic utilizes PowerShell Script Block Logging (EventCode=4104)
  to identify the execution of the `Get-DomainComputer` commandlet. `GetDomainComputer`
  is part of PowerView, a PowerShell tool used to perform enumeration on Windows domains.
  Red Teams and adversaries alike may use PowerView to enumerate domain computers
  for situational awareness and Active Directory Discovery.
","detections\endpoint\getdomaincomputer_with_powershell_script_block.yml"
"GetDomainController with PowerShell",T1018,"868ee0e4-52ab-484a-833a-6d85b7c028d0","This analytic looks for the execution of `powershell.exe` with command-line
  arguments utilized to discover remote systems. `Get-DomainController` is part of
  PowerView, a PowerShell tool used to perform enumeration on Windows domains. Red
  Teams and adversaries alike may leverage PowerView to enumerate domain groups for
  situational awareness and Active Directory Discovery.
","detections\endpoint\getdomaincontroller_with_powershell.yml"
"GetDomainController with PowerShell Script Block",T1018,"676b600a-a94d-4951-b346-11329431e6c1","The following analytic utilizes PowerShell Script Block Logging (EventCode=4104)
  to identify the execution of the `Get-DomainController` commandlet. `Get-DomainController`
  is part of PowerView, a PowerShell tool used to perform enumeration on Windows domains.
  Red Teams and adversaries alike may use PowerView to enumerate domain computers
  for situational awareness and Active Directory Discovery.
","detections\endpoint\getdomaincontroller_with_powershell_script_block.yml"
"GetNetTcpconnection with PowerShell",T1049,"e02af35c-1de5-4afe-b4be-f45aba57272b","This analytic looks for the execution of `powershell.exe` with command-line
  utilized to get a listing of network connections on a compromised system. The `Get-NetTcpConnection`
  commandlet lists the current TCP connections. Red Teams and adversaries alike may
  use this commandlet for situational awareness and Active Directory Discovery.
","detections\endpoint\getnettcpconnection_with_powershell.yml"
"GetNetTcpconnection with PowerShell Script Block",T1049,"091712ff-b02a-4d43-82ed-34765515d95d","The following analytic utilizes PowerShell Script Block Logging (EventCode=4104)
  to identify the execution of the `Get-NetTcpconnection ` commandlet. This commandlet
  is used to return a listing of network connections on a compromised system. Red
  Teams and adversaries alike may use this commandlet for situational awareness and
  Active Directory Discovery.
","detections\endpoint\getnettcpconnection_with_powershell_script_block.yml"
"GetWmiObject Ds Computer with PowerShell",T1018,"7141122c-3bc2-4aaa-ab3b-7a85a0bbefc3","This analytic looks for the execution of `powershell.exe` with command-line
  arguments utilized to discover remote systems. The `Get-WmiObject` commandlet combined
  with the `DS_Computer` parameter can be used to return a list of all domain computers.
  Red Teams and adversaries alike may leverage WMI in this case, using PowerShell,
  to enumerate domain groups for situational awareness and Active Directory Discovery.
","detections\endpoint\getwmiobject_ds_computer_with_powershell.yml"
"GetWmiObject Ds Computer with PowerShell Script Block",T1018,"29b99201-723c-4118-847a-db2b3d3fb8ea","The following analytic utilizes PowerShell Script Block Logging (EventCode=4104)
  to identify the execution of the `Get-WmiObject` commandlet. The `DS_Computer` class
  parameter leverages WMI to query for all domain computers. Red Teams and adversaries
  may leverage this commandlet to enumerate domain computers for situational awareness
  and Active Directory Discovery.
","detections\endpoint\getwmiobject_ds_computer_with_powershell_script_block.yml"
"MSHTML Module Load in Office Product","T1566|T1566.001","5f1c168e-118b-11ec-84ff-acde48001122","The following detection identifies the module load of mshtml.dll into
  an Office product. This behavior has been related to CVE-2021-40444, whereas the
  malicious document will load ActiveX, which activates the MSHTML component. The
  vulnerability resides in the MSHTML component. During triage, identify parallel
  processes and capture any file modifications for analysis.
","detections\endpoint\mshtml_module_load_in_office_product.yml"
"High Process Termination Frequency",T1486,"17cd75b2-8666-11eb-9ab4-acde48001122","This analytics are designed to indentify a high frequency of process
  termination on a machine which is a common behavior of ransomware malware before
  encrypting files. This technique is designed to avoid an exception error while accessing
  (docs, images, database and etc..) in the infected machine for encryption.
","detections\endpoint\high_process_termination_frequency.yml"
"Hunting for Log4Shell",T1190,"158b68fa-5d1a-11ec-aac8-acde48001122","'The following hunting query assists with quickly assessing CVE-2021-44228,
  or Log4Shell, activity mapped to the Web Datamodel. This is a combination query
  attempting to identify, score and dashboard. Because the Log4Shell vulnerability
  requires the string to be in the logs, this will work to identify the activity anywhere
  in the HTTP headers using _raw. Modify the first line to use the same pattern matching
  against other log sources. Scoring is based on a simple rubric of 0-5. 5 being the
  best match, and less than 5 meant to identify additional patterns that will equate
  to a higher total score. \
  The first jndi match identifies the standard pattern of `{jndi:` \
  jndi_fastmatch is meant to identify any jndi in the logs. The score is set low and
  is meant to be the ""base"" score used later. \
  jndi_proto is a protocol match that identifies `jndi` and one of `ldap, ldaps, rmi,
  dns, nis, iiop, corba, nds, http, https.` \
  all_match is a very well written regex by https://gist.github.com/Schvenn that identifies
  nearly all patterns of this attack behavior. \
  env works to identify environment variables in the header, meant to capture `AWS_ACCESS_KEY_ID`,
  `AWS_SECRET_ACCESS_KEY` and `env`. \
  uri_detect is string match looking for the common uri paths currently being scanned/abused
  in the wild. \
  keywords matches on enumerated values that, like `$ctx:loginId`, that may be found
  in the header used by the adversary. \
  lookup matching is meant to catch some basic obfuscation that has been identified
  using upper, lower and date. \
  Scoring will then occur based on any findings. The base score is meant to be 2 ,
  created by jndi_fastmatch. Everything else is meant to increase that score. \
  Finally, a simple table is created to show the scoring and the _raw field. Sort
  based on score or columns of interest.'
","detections\endpoint\hunting_for_log4shell.yml"
