EventID,"actor_name","attack_enterprise_technique","attack_ics_technique",count,"enterprise_ttp"
"4610|An authentication package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing
4611|A trusted logon process has been registered with the Local Security Authority.|Microsoft-Windows-Security-Auditing
4614|A notification package has been loaded by the Security Account Manager.|Microsoft-Windows-Security-Auditing
4622|A security package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing
4624|An account was successfully logged on.|Microsoft-Windows-Security-Auditing
4625|An account failed to log on.|Microsoft-Windows-Security-Auditing
4648|A logon was attempted using explicit credentials.|Microsoft-Windows-Security-Auditing
4673|A privileged service was called.|Microsoft-Windows-Security-Auditing
4674|An operation was attempted on a privileged object.|Microsoft-Windows-Security-Auditing
4703|A token right was adjusted.|Microsoft-Windows-Security-Auditing
4776|The domain controller or local computer attempted to validate the credentials for an account.|Microsoft-Windows-Security-Auditing
4778|A session was reconnected to a Window Station.|Microsoft-Windows-Security-Auditing
4964|Special groups have been assigned to a new logon.|Microsoft-Windows-Security-Auditing","ALLANITE
CHERNOVITE
CHRYSENE
DYMALLOY
ELECTRUM
HEXANE
KAMACITE
KOSTOVITE
PARISITE
RASPITE
STIBNITE
TALONITE
VANADINITE
WASSONITE
XENOTIME","T1078.002 Domain Accounts","T0859 Valid Accounts",15,"T1078.002"
"4610|An authentication package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing
4611|A trusted logon process has been registered with the Local Security Authority.|Microsoft-Windows-Security-Auditing
4614|A notification package has been loaded by the Security Account Manager.|Microsoft-Windows-Security-Auditing
4622|A security package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing
4624|An account was successfully logged on.|Microsoft-Windows-Security-Auditing
4625|An account failed to log on.|Microsoft-Windows-Security-Auditing
4648|A logon was attempted using explicit credentials.|Microsoft-Windows-Security-Auditing
4673|A privileged service was called.|Microsoft-Windows-Security-Auditing
4674|An operation was attempted on a privileged object.|Microsoft-Windows-Security-Auditing
4703|A token right was adjusted.|Microsoft-Windows-Security-Auditing
4776|The domain controller or local computer attempted to validate the credentials for an account.|Microsoft-Windows-Security-Auditing
4778|A session was reconnected to a Window Station.|Microsoft-Windows-Security-Auditing
4964|Special groups have been assigned to a new logon.|Microsoft-Windows-Security-Auditing","ALLANITE
CHERNOVITE
CHRYSENE
DYMALLOY
ELECTRUM
HEXANE
KAMACITE
KOSTOVITE
PARISITE
RASPITE
STIBNITE
TALONITE
VANADINITE
WASSONITE
XENOTIME","T1078.003 Local Accounts","T0859 Valid Accounts",15,"T1078.003"
"1|Process Creation.|sysmon
30|EventID(30)|Microsoft-Windows-LDAP-Client/Debug
4103|Module logging.|powershell
4104|Script Block Logging.|powershell
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
5|Process terminated.|sysmon
7|Image loaded.|sysmon
8|CreateRemoteThread.|sysmon","CHERNOVITE
CHRYSENE
COVELLITE
DYMALLOY
HEXANE
KAMACITE
MAGNALLIUM
PARISITE
XENOTIME","T1059.001 PowerShell","T0853 Scripting",9,"T1059.001"
"1|Process Creation.|sysmon
4103|Module logging.|powershell
4104|Script Block Logging.|powershell
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
7|Image loaded.|sysmon
8|CreateRemoteThread.|sysmon","CHERNOVITE
CHRYSENE
COVELLITE
DYMALLOY
HEXANE
KAMACITE
MAGNALLIUM
PARISITE
XENOTIME","T1059.005 Visual Basic","T0853 Scripting",9,"T1059.005"
"1|Process Creation.|sysmon
4103|Module logging.|powershell
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
8|CreateRemoteThread.|sysmon","CHERNOVITE
CHRYSENE
COVELLITE
DYMALLOY
HEXANE
KAMACITE
MAGNALLIUM
PARISITE
XENOTIME","T1059.006 Python","T0853 Scripting",9,"T1059.006"
"1|Process Creation.|sysmon
4103|Module logging.|powershell
4104|Script Block Logging.|powershell
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
7|Image loaded.|sysmon
8|CreateRemoteThread.|sysmon","CHERNOVITE
CHRYSENE
COVELLITE
DYMALLOY
HEXANE
KAMACITE
MAGNALLIUM
PARISITE
XENOTIME","T1059.007 JavaScript","T0853 Scripting",9,"T1059.007"
"11|FileCreate.|sysmon
11|FileCreate|sysmon
4663|An attempt was made to access an object.|Microsoft-Windows-Security-Auditing","ALLANITE
COVELLITE
DYMALLOY
HEXANE
MAGNALLIUM
PETROVITE
STIBNITE
TALONITE","T1566.001 Phishing: Spearphishing Attachment","T0865 Spearphishing Attachment",8,"T1566.001"
"1|Process Creation.|sysmon
4103|Module logging.|powershell
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
8|CreateRemoteThread.|sysmon","CHERNOVITE
ELECTRUM
KAMACITE
KOSTOVITE
XENOTIME","T1059.003 Windows Command Shell","T0807 Command-Line Interface",5,"T1059.003"
"1|Process Creation.|sysmon","CHERNOVITE
ELECTRUM
KAMACITE
KOSTOVITE
XENOTIME","T1059.004 Unix Shell","T0807 Command-Line Interface",5,"T1059.004"
"4610|An authentication package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing
4611|A trusted logon process has been registered with the Local Security Authority.|Microsoft-Windows-Security-Auditing
4614|A notification package has been loaded by the Security Account Manager.|Microsoft-Windows-Security-Auditing
4622|A security package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing
4673|A privileged service was called.|Microsoft-Windows-Security-Auditing
4674|An operation was attempted on a privileged object.|Microsoft-Windows-Security-Auditing
4703|A token right was adjusted.|Microsoft-Windows-Security-Auditing","ELECTRUM
KAMACITE
KOSTOVITE
PARISITE
VANADINITE","T1133 External Remote Services","T0822 External Remote Services",5,T1133
"1|Process Creation.|sysmon
3|Network connection.|sysmon
4103|Module logging.|powershell
4656|A handle to an object was requested.|Microsoft-Windows-Security-Auditing
4661|A handle to an object was requested.|Microsoft-Windows-Security-Auditing
4663|An attempt was made to access an object.|Microsoft-Windows-Security-Auditing
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
5031|The Windows Firewall Service blocked an application from accepting incoming connections on the network.|Microsoft-Windows-Security-Auditing
5154|The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.|Microsoft-Windows-Security-Auditing
5155|The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.|Microsoft-Windows-Security-Auditing
5156|The Windows Filtering Platform has permitted a connection.|Microsoft-Windows-Security-Auditing
5157|The Windows Filtering Platform has blocked a connection.|Microsoft-Windows-Security-Auditing
5158|The Windows Filtering Platform has permitted a bind to a local port.|Microsoft-Windows-Security-Auditing
5159|The Windows Filtering Platform has blocked a bind to a local port.|Microsoft-Windows-Security-Auditing
8|CreateRemoteThread.|sysmon","ALLANITE
CHERNOVITE
ELECTRUM
KAMACITE
PETROVITE","T1018 Remote System Discovery","T0846 Remote System Discovery",5,T1018
"1|Process Creation.|sysmon
4103|Module logging.|powershell
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
8|CreateRemoteThread.|sysmon","ALLANITE
DYMALLOY
ELECTRUM
PETROVITE
TALONITE","T1113 Screen Capture","T0852 Screen Capture",5,T1113
"11|FileCreate.|sysmon
11|FileCreate|sysmon
1|Process Creation.|sysmon
3|Network connection.|sysmon
4663|An attempt was made to access an object.|Microsoft-Windows-Security-Auditing
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
5031|The Windows Firewall Service blocked an application from accepting incoming connections on the network.|Microsoft-Windows-Security-Auditing
5154|The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.|Microsoft-Windows-Security-Auditing
5155|The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.|Microsoft-Windows-Security-Auditing
5156|The Windows Filtering Platform has permitted a connection.|Microsoft-Windows-Security-Auditing
5157|The Windows Filtering Platform has blocked a connection.|Microsoft-Windows-Security-Auditing
5158|The Windows Filtering Platform has permitted a bind to a local port.|Microsoft-Windows-Security-Auditing
5159|The Windows Filtering Platform has blocked a bind to a local port.|Microsoft-Windows-Security-Auditing
8|CreateRemoteThread.|sysmon","DYMALLOY
ERYTHRITE
KOSTOVITE
STIBNITE","T1189 Drive-by Compromise","T0817 Drive-by Compromise",4,T1189
"1100|The event logging service has shut down.|Microsoft-Windows-Eventlog
1101|Audit events have been dropped by the transport.|Microsoft-Windows-Eventlog
1102|The audit log was cleared.|Microsoft-Windows-Eventlog
1104|The security Log is now full.|Microsoft-Windows-Eventlog
4616|The system time was changed.|Microsoft-Windows-Security-Auditing
4|Sysmon service state changed.|sysmon
6005|The Event log service was started.|Eventlog / System
6006|The Event log service was stopped.|Eventlog / System","ALLANITE
DYMALLOY
HEXANE
RASPITE","T1195 Supply Chain Compromise","T0862 Supply Chain Compromise",4,T1195
"11|FileCreate.|sysmon
11|FileCreate|sysmon
1|Process Creation.|sysmon
3|Network connection.|sysmon
4103|Module logging.|powershell
4663|An attempt was made to access an object.|Microsoft-Windows-Security-Auditing
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
5031|The Windows Firewall Service blocked an application from accepting incoming connections on the network.|Microsoft-Windows-Security-Auditing
5154|The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.|Microsoft-Windows-Security-Auditing
5155|The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.|Microsoft-Windows-Security-Auditing
5156|The Windows Filtering Platform has permitted a connection.|Microsoft-Windows-Security-Auditing
5157|The Windows Filtering Platform has blocked a connection.|Microsoft-Windows-Security-Auditing
5158|The Windows Filtering Platform has permitted a bind to a local port.|Microsoft-Windows-Security-Auditing
5159|The Windows Filtering Platform has blocked a bind to a local port.|Microsoft-Windows-Security-Auditing
8|CreateRemoteThread.|sysmon","ALLANITE
CHERNOVITE
ELECTRUM
HEXANE","T1204 User Execution","T0863 User Execution",4,T1204
"3|Network connection.|sysmon
5031|The Windows Firewall Service blocked an application from accepting incoming connections on the network.|Microsoft-Windows-Security-Auditing
5154|The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.|Microsoft-Windows-Security-Auditing
5155|The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.|Microsoft-Windows-Security-Auditing
5156|The Windows Filtering Platform has permitted a connection.|Microsoft-Windows-Security-Auditing
5157|The Windows Filtering Platform has blocked a connection.|Microsoft-Windows-Security-Auditing
5158|The Windows Filtering Platform has permitted a bind to a local port.|Microsoft-Windows-Security-Auditing
5159|The Windows Filtering Platform has blocked a bind to a local port.|Microsoft-Windows-Security-Auditing","CHERNOVITE
KAMACITE
KOSTOVITE
TALONITE","T1090 Proxy","T0884 Connection Proxy",4,T1090
"3|Network connection.|sysmon
5031|The Windows Firewall Service blocked an application from accepting incoming connections on the network.|Microsoft-Windows-Security-Auditing
5154|The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.|Microsoft-Windows-Security-Auditing
5155|The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.|Microsoft-Windows-Security-Auditing
5156|The Windows Filtering Platform has permitted a connection.|Microsoft-Windows-Security-Auditing
5157|The Windows Filtering Platform has blocked a connection.|Microsoft-Windows-Security-Auditing
5158|The Windows Filtering Platform has permitted a bind to a local port.|Microsoft-Windows-Security-Auditing
5159|The Windows Filtering Platform has blocked a bind to a local port.|Microsoft-Windows-Security-Auditing","ALLANITE
CHERNOVITE
DYMALLOY
KAMACITE","T1102 Web Service","T0885 Commonly Used Port",4,T1102
"1100|The event logging service has shut down.|Microsoft-Windows-Eventlog
1101|Audit events have been dropped by the transport.|Microsoft-Windows-Eventlog
1102|The audit log was cleared.|Microsoft-Windows-Eventlog
1104|The security Log is now full.|Microsoft-Windows-Eventlog
4616|The system time was changed.|Microsoft-Windows-Security-Auditing
4|Sysmon service state changed.|sysmon
6005|The Event log service was started.|Eventlog / System
6006|The Event log service was stopped.|Eventlog / System","ALLANITE
CHERNOVITE
ELECTRUM","T1499 Endpoint Denial of Service","T0814 Denial of Service",3,T1499
