EventCode,group_policy_group,group_policy_option
4960,System,Audit IPsec Driver
4961,System,Audit IPsec Driver
4962,System,Audit IPsec Driver
4963,System,Audit IPsec Driver
4965,System,Audit IPsec Driver
5478,System,Audit IPsec Driver
5479,System,Audit IPsec Driver
5480,System,Audit IPsec Driver
5483,System,Audit IPsec Driver
5484,System,Audit IPsec Driver
5485,System,Audit IPsec Driver
5024,System,Audit Other System Events
5025,System,Audit Other System Events
5027,System,Audit Other System Events
5028,System,Audit Other System Events
5029,System,Audit Other System Events
5030,System,Audit Other System Events
5032,System,Audit Other System Events
5033,System,Audit Other System Events
5034,System,Audit Other System Events
5035,System,Audit Other System Events
5037,System,Audit Other System Events
5058,System,Audit Other System Events
5059,System,Audit Other System Events
6400,System,Audit Other System Events
6401,System,Audit Other System Events
6402,System,Audit Other System Events
6403,System,Audit Other System Events
6404,System,Audit Other System Events
6405,System,Audit Other System Events
6406,System,Audit Other System Events
6407,System,Audit Other System Events
6408,System,Audit Other System Events
4608,System,Audit Security State Change
4609,System,Audit Security State Change
4616,System,Audit Security State Change
4621,System,Audit Security State Change
4610,System,Audit Security System Extension
4611,System,Audit Security System Extension
4614,System,Audit Security System Extension
4622,System,Audit Security System Extension
4697,System,Audit Security System Extension
4612,System,Audit System Integrity
4615,System,Audit System Integrity
4618,System,Audit System Integrity
4816,System,Audit System Integrity
5038,System,Audit System Integrity
5056,System,Audit System Integrity
5057,System,Audit System Integrity
5060,System,Audit System Integrity
5061,System,Audit System Integrity
5062,System,Audit System Integrity
6281,System,Audit System Integrity
4672,Privilege Use,Audit Non-Sensitive Privilege Use
4673,Privilege Use,Audit Non-Sensitive Privilege Use
4674,Privilege Use,Audit Non-Sensitive Privilege Use
4672,Privilege Use,Audit Sensitive Privilege Use
4673,Privilege Use,Audit Sensitive Privilege Use
4674,Privilege Use,Audit Sensitive Privilege Use
N/A,Privilege Use,Audit Other Privilege Use Events
4715,Policy Change,Audit Audit Policy Change
4719,Policy Change,Audit Audit Policy Change
4817,Policy Change,Audit Audit Policy Change
4902,Policy Change,Audit Audit Policy Change
4904,Policy Change,Audit Audit Policy Change
4905,Policy Change,Audit Audit Policy Change
4906,Policy Change,Audit Audit Policy Change
4907,Policy Change,Audit Audit Policy Change
4908,Policy Change,Audit Audit Policy Change
4912,Policy Change,Audit Audit Policy Change
4713,Policy Change,Audit Authentication Policy Change
4716,Policy Change,Audit Authentication Policy Change
4717,Policy Change,Audit Authentication Policy Change
4718,Policy Change,Audit Authentication Policy Change
4739,Policy Change,Audit Authentication Policy Change
4864,Policy Change,Audit Authentication Policy Change
4865,Policy Change,Audit Authentication Policy Change
4866,Policy Change,Audit Authentication Policy Change
4867,Policy Change,Audit Authentication Policy Change
4704,Policy Change,Audit Authorization Policy Change
4705,Policy Change,Audit Authorization Policy Change
4706,Policy Change,Audit Authorization Policy Change
